header,primary_lib,lib_name,resolved_funcs,total_prototypes,other_libs
d3dx9math.h,libd3dx9_38.a,d3dx9_38,102,102,d3dx9_35(102);d3dx9(102);d3dx9_36(102);d3dx9_33(102);d3dx9_40(102);d3dx9_43(102);d3dx9_32(102);d3dx9_39(102);d3dx9_37(102);d3dx9_42(102);d3dx9_34(102);d3dx9_41(102);d3dx10_35(101);d3dx10_34(101);d3dx10_38(101);d3dx10_39(101);d3dx10_41(101);d3dx10_42(101);d3dx10_36(101);d3dx10_43(101);d3dx10(101);d3dx10_37(101);d3dx10_40(101);d3dx10_33(101);d3dx9_28(99);d3dx9_25(99);d3dx9_24(99);d3dx9_27(99);d3dx9_30(99);d3dx9_31(99);d3dx9_26(99);d3dx9_29(99);d3dx9d(85);d3dx8d(72)
d3dx9mesh.h,libd3dx9_38.a,d3dx9_38,73,73,d3dx9_35(73);d3dx9(73);d3dx9_28(73);d3dx9_27(73);d3dx9_36(73);d3dx9_30(73);d3dx9_33(73);d3dx9_40(73);d3dx9_43(73);d3dx9_31(73);d3dx9_32(73);d3dx9_26(73);d3dx9_29(73);d3dx9_39(73);d3dx9_37(73);d3dx9_42(73);d3dx9_34(73);d3dx9_41(73);d3dx9_25(69);d3dx9_24(66);d3dx9d(47);d3dx8d(30);d3dx10_35(5);d3dx10_34(5);d3dx10_38(5);d3dx10_39(5);d3dx10_41(5);d3dx10_42(5);d3dx10_36(5);d3dx10_43(5);d3dx10(5);d3dx10_37(5);d3dx10_40(5);d3dx10_33(5)
d3dx9shader.h,libd3dx9_38.a,d3dx9_38,29,29,d3dx9_36(29);d3dx9_40(29);d3dx9_39(29);d3dx9_37(29);d3dx9_41(29);d3dx9_35(27);d3dx9_28(27);d3dx9_30(27);d3dx9_33(27);d3dx9_31(27);d3dx9_32(27);d3dx9_29(27);d3dx9_34(27);d3dx9(27);d3dx9_43(27);d3dx9_42(27);d3dx9_25(22);d3dx9_24(22);d3dx9_27(22);d3dx9_26(22);d3dx9d(16);d3dx8d(5)
d3dx9shape.h,libd3dx9_38.a,d3dx9_38,8,8,d3dx9_35(8);d3dx9(8);d3dx9d(8);d3dx9_28(8);d3dx9_25(8);d3dx9_24(8);d3dx9_27(8);d3dx9_36(8);d3dx9_30(8);d3dx9_33(8);d3dx9_40(8);d3dx9_43(8);d3dx9_31(8);d3dx9_32(8);d3dx9_26(8);d3dx9_29(8);d3dx9_39(8);d3dx9_37(8);d3dx9_42(8);d3dx8d(8);d3dx9_34(8);d3dx9_41(8)
d3dx9tex.h,libd3dx9_38.a,d3dx9_38,71,71,d3dx9_35(71);d3dx9(71);d3dx9_28(71);d3dx9_25(71);d3dx9_24(71);d3dx9_27(71);d3dx9_36(71);d3dx9_30(71);d3dx9_33(71);d3dx9_40(71);d3dx9_43(71);d3dx9_31(71);d3dx9_32(71);d3dx9_26(71);d3dx9_29(71);d3dx9_39(71);d3dx9_37(71);d3dx9_42(71);d3dx9_34(71);d3dx9_41(71);d3dx9d(69);d3dx8d(66)
datetimeapi.h,libkernel32.a,kernel32,6,6,
davclnt.h,libdavhlpr.a,davhlpr,6,11,netapi32(6);davclnt(5)
dde.h,libuser32.a,user32,6,6,
ddeml.h,libuser32.a,user32,31,32,
ddraw.h,libddraw.a,ddraw,7,7,
debugapi.h,libkernel32.a,kernel32,9,10,dxerr8(3);dxerr9(3);winpthread(2);pthread(2);windowsappcompat(1);winstorecompat(1)
dhcpcsdk.h,libdhcpcsvc.a,dhcpcsvc,7,7,
dhcpsapi.h,libdhcpsapi.a,dhcpsapi,12,12,
dhcpv6csdk.h,libdhcpcsvc6.a,dhcpcsvc6,2,4,
dinput.h,libdinput.a,dinput,3,4,dinput8(1)
dismapi.h,libdismapi.a,dismapi,34,34,
dlcapi.h,libdlcapi.a,dlcapi,1,3,
dmemmgr.h,libwin32k.a,win32k,2,3,
dmoreg.h,libmsdmo.a,msdmo,5,5,
dmort.h,libmsdmo.a,msdmo,6,6,
dpaddr.h,libdpnaddr.a,dpnaddr,1,1,
dpapi.h,libcrypt32.a,crypt32,5,7,dpapi(5)
dplay.h,libdplayx.a,dplayx,3,3,
dplay8.h,libdpnet.a,dpnet,1,1,
dplobby.h,libdplayx.a,dplayx,2,2,
dplobby8.h,libdpnlobby.a,dpnlobby,1,1,
dsgetdc.h,liblogoncli.a,logoncli,23,23,netapi32(23)
dsound.h,libdsound.a,dsound,10,10,tbs(1)
dsrole.h,libdsrole.a,dsrole,2,2,netapi32(2)
dssec.h,libdssec.a,dssec,3,3,
dwmapi.h,libdwmapi.a,dwmapi,30,31,dcomp(2)
dwrite.h,libdwrite.a,dwrite,1,1,
dxva2api.h,libdxva2.a,dxva2,2,2,
eaphostpeerconfigapis.h,libeappcfg.a,eappcfg,13,13,
eapmethodauthenticatorapis.h,libeappgnui.a,eappgnui,1,12,
eapmethodpeerapis.h,libeappgnui.a,eappgnui,2,25,
eappapis.h,libeappprxy.a,eappprxy,16,16,
elscore.h,libelscore.a,elscore,5,5,
errhandlingapi.h,libkernel32.a,kernel32,12,12,winpthread(5);pthread(5);winstorecompat(4);mingwex(2);windowsappcompat(2);mingw32(1)
errorrep.h,libfaultrep.a,faultrep,3,3,
errors.h,libquartz.a,quartz,2,2,
evcoll.h,libwecapi.a,wecapi,15,15,
evntcons.h,libadvapi32.a,advapi32,3,3,
evntprov.h,libadvapi32.a,advapi32,9,10,windowsapp(1);mincore(1)
evntrace.h,libadvapi32.a,advapi32,35,37,
evr.h,libevr.a,evr,5,6,mf(1)
expandedresources.h,libwindowsapp.a,windowsapp,3,3,
fibersapi.h,libkernel32.a,kernel32,5,5,winstorecompat(4)
fileapi.h,libkernel32.a,kernel32,81,81,mingwex(12);winstorecompat(8);windowsappcompat(4)
